stamp,decode,file,overall_decode_tps,decode_tps_first,decode_tps_last,decode_drop_pct,final_ctx
2026-07-15_20-57-38,fast,profile_2026-07-15_20-57-38_fast.txt,13.844,20.362,11.576,43.15,451
2026-07-16_01-07-55,Qwen2.5-3B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-07-55_Qwen2.5-3B-Instruct-Q4_K_M_fastv2.txt,10.868,14.224,8.465,40.49,451
2026-07-16_01-12-14,Qwen2.5-0.5B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-12-14_Qwen2.5-0.5B-Instruct-Q4_K_M_fastv2.txt,100.465,133.872,82.994,38.01,449
2026-07-16_01-12-40,Qwen2.5-3B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-12-40_Qwen2.5-3B-Instruct-Q4_K_M_fastv2.txt,15.981,25.087,12.638,49.62,451
2026-07-16_01-27-19,Qwen2.5-0.5B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-27-19_Qwen2.5-0.5B-Instruct-Q4_K_M_flash.txt,87.407,112.365,75.490,32.82,433
2026-07-16_01-27-54,Qwen2.5-0.5B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-27-54_Qwen2.5-0.5B-Instruct-Q4_K_M_flash.txt,85.077,111.520,69.654,37.54,433
2026-07-16_01-29-00,Qwen2.5-0.5B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-29-00_Qwen2.5-0.5B-Instruct-Q4_K_M_fastv2.txt,76.922,105.981,61.912,41.58,433
2026-07-16_01-29-42,Qwen2.5-0.5B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-29-42_Qwen2.5-0.5B-Instruct-Q4_K_M_fastv2.txt,77.330,108.172,62.080,42.61,433
2026-07-16_01-30-21,Qwen2.5-0.5B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-30-21_Qwen2.5-0.5B-Instruct-Q4_K_M_fastv2.txt,77.462,108.453,61.959,42.87,433
2026-07-16_01-30-50,Qwen2.5-0.5B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-30-50_Qwen2.5-0.5B-Instruct-Q4_K_M_fastv2.txt,75.188,108.220,58.438,46.00,433
2026-07-16_01-33-24,Qwen2.5-0.5B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-33-24_Qwen2.5-0.5B-Instruct-Q4_K_M_fastv2.txt,102.517,134.390,83.136,38.14,425
2026-07-16_01-35-32,Qwen2.5-0.5B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-35-32_Qwen2.5-0.5B-Instruct-Q4_K_M_fastv2.txt,101.391,131.876,82.269,37.62,425
2026-07-16_01-36-32,Qwen2.5-0.5B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-36-32_Qwen2.5-0.5B-Instruct-Q4_K_M_fastv2.txt,101.955,134.576,82.150,38.96,425
2026-07-16_01-36-36,Qwen2.5-0.5B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-36-36_Qwen2.5-0.5B-Instruct-Q4_K_M_flash.txt,118.171,135.789,103.688,23.64,425
2026-07-16_01-37-07,Qwen2.5-3B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-37-07_Qwen2.5-3B-Instruct-Q4_K_M_fastv2.txt,14.561,19.966,12.702,36.38,450
2026-07-16_01-37-52,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-37-52_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,10.381,14.048,8.336,40.66,450
2026-07-16_01-39-12,Qwen2.5-0.5B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-39-12_Qwen2.5-0.5B-Instruct-Q4_K_M_flash.txt,120.920,124.365,110.773,10.93,425
2026-07-16_01-39-49,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-39-49_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,15.725,22.857,13.672,40.19,450
2026-07-16_01-41-55,Qwen2.5-0.5B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-41-55_Qwen2.5-0.5B-Instruct-Q4_K_M_fastv2.txt,107.354,141.662,86.321,39.07,425
2026-07-16_01-42-07,Qwen2.5-0.5B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-42-07_Qwen2.5-0.5B-Instruct-Q4_K_M_fastv2.txt,98.035,132.149,78.901,40.29,425
2026-07-16_01-42-14,Qwen2.5-0.5B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-42-14_Qwen2.5-0.5B-Instruct-Q4_K_M_fastv2.txt,93.008,132.189,74.735,43.46,425
2026-07-16_01-42-20,Qwen2.5-0.5B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-42-20_Qwen2.5-0.5B-Instruct-Q4_K_M_flash.txt,101.440,133.954,86.472,35.45,425
2026-07-16_01-46-43,Qwen2.5-3B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-46-43_Qwen2.5-3B-Instruct-Q4_K_M_fastv2.txt,23.196,26.320,19.924,24.30,450
2026-07-16_01-47-13,Qwen2.5-3B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-47-13_Qwen2.5-3B-Instruct-Q4_K_M_fastv2.txt,14.324,18.403,12.902,29.89,450
2026-07-16_01-47-51,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-47-51_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,11.007,14.026,9.542,31.97,450
2026-07-16_01-48-43,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-48-43_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,7.670,8.770,6.988,20.32,450
2026-07-16_01-49-44,Qwen2.5-3B-Instruct-Q4_K_M,fast,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-49-44_Qwen2.5-3B-Instruct-Q4_K_M_fast.txt,6.552,6.602,6.501,1.53,450
2026-07-16_01-50-51,Qwen2.5-3B-Instruct-Q4_K_M,online,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-50-51_Qwen2.5-3B-Instruct-Q4_K_M_online.txt,5.810,5.730,6.146,-7.27,450
2026-07-16_01-52-01,Qwen2.5-3B-Instruct-Q4_K_M,basic,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-52-01_Qwen2.5-3B-Instruct-Q4_K_M_basic.txt,5.674,6.844,5.465,20.15,450
2026-07-16_01-53-18,Qwen2.5-3B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-53-18_Qwen2.5-3B-Instruct-Q4_K_M_fastv2.txt,5.002,5.157,4.931,4.38,450
