stamp,model,decode,file,overall_decode_tps,decode_tps_first,decode_tps_last,decode_drop_pct,final_ctx
unix_1784134448,Qwen2.5-0.5B-Instruct-Q4_K_M,fastv2,profile_unix_1784134448_Qwen2.5-0.5B-Instruct-Q4_K_M_fastv2.txt,101.605,133.356,84.510,36.63,449
unix_1784134468,Qwen2.5-3B-Instruct-Q4_K_M,fastv2,profile_unix_1784134468_Qwen2.5-3B-Instruct-Q4_K_M_fastv2.txt,31.392,32.574,29.844,8.38,451
