"filename", "language", "Markdown", "Python", "PowerShell", "pip requirements", "Shell Script", "Rust", "JSON Lines", "YAML", "CUDA C++", "comment", "blank", "total"
"d:\taraference\crates\gguf\examples\probe4.rs", "Rust", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 1, 12
"d:\taraference\crates\gguf\examples\probe5.rs", "Rust", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\taraference\crates\gguf\examples\probe_norm.rs", "Rust", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"d:\taraference\crates\gguf\examples\probe_ssm.rs", "Rust", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 1, 18
"d:\taraference\crates\gguf\src\error.rs", "Rust", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 12, 41
"d:\taraference\crates\gguf\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, 3, 17
"d:\taraference\crates\gguf\src\reader.rs", "Rust", 0, 0, 0, 0, 0, 187, 0, 0, 0, 8, 28, 223
"d:\taraference\crates\gguf\src\types.rs", "Rust", 0, 0, 0, 0, 0, 184, 0, 0, 0, 8, 10, 202
"d:\taraference\crates\gguf\src\value.rs", "Rust", 0, 0, 0, 0, 0, 271, 0, 0, 0, 3, 14, 288
"d:\taraference\openai-test-python\README.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 36
"d:\taraference\openai-test-python\assistant.py", "Python", 0, 146, 0, 0, 0, 0, 0, 0, 0, 17, 24, 187
"d:\taraference\openai-test-python\requirements.txt", "pip requirements", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\taraference\profile-logs\ollama-l4\bench_chat.py", "Python", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 8, 80
"d:\taraference\profile-logs\ollama-l4\ollama-run1.jsonl", "JSON Lines", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\taraference\profile-logs\ollama-l4\ollama-run2.jsonl", "JSON Lines", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\taraference\profile-logs\ollama-l4\ollama-warm-run2.jsonl", "JSON Lines", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\taraference\profile-logs\ollama-l4\ollama-warm-run3.jsonl", "JSON Lines", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\taraference\review-by\core_inference_engine_review.md", "Markdown", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 120
"d:\taraference\review-by\placetoimporve.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 116
"d:\taraference\review-by\placetoimporve\README.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 116
"d:\taraference\scripts\README.md", "Markdown", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 63
"d:\taraference\scripts\get-binary.sh", "Shell Script", 0, 0, 0, 0, 71, 0, 0, 0, 0, 19, 14, 104
"d:\taraference\scripts\install.ps1", "PowerShell", 0, 0, 96, 0, 0, 0, 0, 0, 0, 20, 15, 131
"d:\taraference\scripts\install.sh", "Shell Script", 0, 0, 0, 0, 95, 0, 0, 0, 0, 16, 18, 129
"Total", "-", 1094, 295, 96, 1, 166, 8081, 24, 117, 3308, 692, 1278, 15152
